ManufacturerID,Manufacturer
1,SUN
2,3COM
3,A M I
4,AASTRA
5,ACER
6,ADTRAN
7,ADVANTECH
8,AMAZON
9,AOC
10,AOPEN
11,APC
12,APPLE
13,ARCHOS
14,ARISTA
15,ARRIS
16,ARUBA
17,ASROCK
18,ASTEC
19,ASUS
20,AVAYA
21,AVERMEDIA
22,AVST
23,BARCO
24,BARRACUDA NETWORKS
25,BELKIN
26,BENQ
27,BIAMP
28,BLACKBERRY
29,BLUE COAT
30,BROTHER
31,BUFFALO
32,CANOGA PERKINS¡¯
33,CANON
34,CHECK POINT
35,CISCO
36,CITRIX
37,CLEARONE
38,COMPAQ
39,CONTEMPORARY RESEARCH
40,CRESTRON
41,CROWN
42,CUSTOM
43,CYBERPOWER
44,DATAMAX
45,DELL
46,DELTA ELECTRONICS
47,DENON
48,DIGI
49,D-LINK
50,DOME
51,DYMO
52,EIKI
53,EINSTRUCTION
54,EIZO
55,ELECTRO VOICE
56,ELMO
57,EMC
58,ENOVATE
59,EPSON
60,ESERVER
61,EXTRON
62,F5
63,FALCON
64,FIERY
65,FIREBOX
66,FIRST
67,FORCE10
68,FORTINET
69,FSR
70,FUJITSU
71,FURMAN
72,GATEWAY
73,GENERAC
74,GENERAL DYNAMICS ITRONIX
75,GENERIC SYSTEM
76,GO VIDEO
77,GRID SYSTEMS CORP
78,HANNS-G
79,HP
80,HTC
81,IBM
82,INFOCUS
83,INTEL
84,INTUOS
85,IPOC
86,JUNIPER
87,JVC
88,KDS
89,KONICA-MINOLTA
90,KRAMER
91,KYOCERA
92,LANIER
93,LENOVO
94,LEXMARK
95,LG
96,LIBERT
97,LIFESIZE
98,LIGHTSPEED
99,LINKSYS
100,LUCENT
101,MAGNAVOX
102,MELLANOX
103,MICROSOFT
104,MIDDLE ATLANTIC
105,MITEL
106,MITSUBISHI
107,MOTOROLA
108,MPC
109,MULTITECH
110,NEC
111,NET APP
112,NETGEAR
113,NETOPIA
114,NEXUS
115,NOKIA
116,NORTEL
117,NORTHERN TELECOM
118,OKI
119,OPPO
120,OPTIQUEST
121,OPTOMA
122,PANASONIC
123,PHILIPS
124,PIONEER
125,PLANAR
126,PLANTRONICS
127,POLYCOM
128,POWERCOM
129,PROXIMA
130,QSC
131,RANE
132,RCA
133,RICOH
134,ROLAND
135,SAMSUNG
136,SANYO
137,SHURE
138,SMC
139,SONICWALL
140,SONY
141,SOPHOS
142,SOURCEFIRE
143,STAR
144,STINGER
145,SUPERMICRO
146,SURE
147,TANDBERG DATA
148,TEKTRONIX
149,TOA
150,TOSHIBA
151,TP-LINK
152,TRIPP LITE
153,UBEE
154,US ROBOTICS
155,VERIZON
156,VIEWSONIC
157,WESTINGHOUSE
158,WOLF
159,WYSE
160,XEROX
161,XYRATEX
162,YAMAHA
163,ZEBRA
164,ZULTYS
