MemoryID,MemoryType,MemorySize,MemoryQty,MemoryValue
1,DDR2-533,512 MB,1,0
2,DDR2-533,512 MB,2,0
3,DDR2-533,512 MB,3,0
4,DDR2-533,512 MB,4,0
5,DDR2-533,512 MB,5,0
6,DDR2-533,512 MB,6,0
7,DDR2-533,512 MB,7,0
8,DDR2-533,512 MB,8,0
9,DDR2-533,512 MB,9,0
10,DDR2-533,512 MB,10,0
11,DDR2-533,1 GB,1,0
12,DDR2-533,1 GB,2,0
13,DDR2-533,1 GB,3,0
14,DDR2-533,1 GB,4,0
15,DDR2-533,1 GB,5,0
16,DDR2-533,1 GB,6,0
17,DDR2-533,1 GB,7,0
18,DDR2-533,1 GB,8,0
19,DDR2-533,1 GB,9,0
20,DDR2-533,1 GB,10,0
21,DDR2-533,2 GB,1,0
22,DDR2-533,2 GB,2,0
23,DDR2-533,2 GB,3,0
24,DDR2-533,2 GB,4,0
25,DDR2-533,2 GB,5,0
26,DDR2-533,2 GB,6,0
27,DDR2-533,2 GB,7,0
28,DDR2-533,2 GB,8,0
29,DDR2-533,2 GB,9,0
30,DDR2-533,2 GB,10,0
31,DDR2-533,4 GB,1,0
32,DDR2-533,4 GB,2,0
33,DDR2-533,4 GB,3,0
34,DDR2-533,4 GB,4,0
35,DDR2-533,4 GB,5,0
36,DDR2-533,4 GB,6,0
37,DDR2-533,4 GB,7,0
38,DDR2-533,4 GB,8,0
39,DDR2-533,4 GB,9,0
40,DDR2-533,4 GB,10,0
41,DDR2-533,8 GB,1,0
42,DDR2-533,8 GB,2,0
43,DDR2-533,8 GB,3,0
44,DDR2-533,8 GB,4,0
45,DDR2-533,8 GB,5,0
46,DDR2-533,8 GB,6,0
47,DDR2-533,8 GB,7,0
48,DDR2-533,8 GB,8,0
49,DDR2-533,8 GB,9,0
50,DDR2-533,8 GB,10,0
51,DDR2-533,16 GB,1,0
52,DDR2-533,16 GB,2,0
53,DDR2-533,16 GB,3,0
54,DDR2-533,16 GB,4,0
55,DDR2-533,16 GB,5,0
56,DDR2-533,16 GB,6,0
57,DDR2-533,16 GB,7,0
