ModelID,CategoryID,ManufacturerID,ModelName,AssetModelValue
1,9,2,3CBLSG24,0
2,7,4,6867I,0
3,10,5,AL1706,5
4,10,5,AL1706 A,0
5,10,5,AL1715,5
6,10,5,AL1716,5
7,10,5,AL1716 F,0
8,10,5,AL1717,5
9,10,5,AL1717 B,5
10,10,5,AL1916,5
11,10,5,AL1916W,5
12,10,5,AL1917,0
13,10,5,AL1917 C,5
14,10,5,AL2216W,0
15,10,5,B193W,5
16,1,5,CHROMEBOOK 13 CB5-311 SERIES,26.29
17,1,5,CHROMEBOOK C740 SERIES,26.29
18,10,5,G206HQL,0
19,10,5,S231HL,0
20,4,5,TRAVELMATE C203ETCI,0
21,10,5,V173,5
22,10,5,V173 DJB,5
23,10,5,V176L,5
24,10,5,V193,5
25,10,5,V193L,5
26,10,5,V193W,5
27,10,5,V203W,0
28,10,5,V223W,0
29,10,5,V226HQL,0
30,10,5,V246HL,0
31,10,5,X183H B,0
32,10,5,X223H,0
33,10,5,X223W,5
34,9,6,NETVANTA 838 1172838G1,0
35,9,6,NT1 ACE4,0
36,4,7,TPC-1261H-A1E,0
37,4,8,KINDLE FIRE (D01400),5
38,10,9,156LM00003,0
39,10,9,E1649FWU,0
40,10,9,E2343FK,0
41,2,10,MP65-DI,0
42,13,11,AP7530,21.5
43,13,11,AP7541,55
44,13,11,AP7830,0
45,13,11,AP7840,0
46,13,11,AP7900,70
47,13,11,AP7920,0
48,13,11,AP7941,55
49,13,11,AP9211,0
50,9,11,AP9224,0
51,13,11,AP9228,0
52,13,11,AP9626,0
53,13,11,BACK UPS RS 1500,0
54,13,11,BACK UPS XS 1300,0
55,13,11,BACK-UPS 650,0
56,13,11,BACK-UPS 750,0
57,13,11,BACK-UPS CS 500,0
58,13,11,BACK-UPS ES 450,12.5
59,13,11,BACK-UPS ES 500,0
60,13,11,BACK-UPS PRO 1000,0
61,13,11,BACKUPS-UPS 450,13.75
62,13,11,BASIC RACK PDU,50
63,13,11,BE350G,0
64,13,11,BE650R,0
65,13,11,BE750G,0
66,13,11,BX1500LCD,0
67,13,11,DLA1500RM2U,0
68,13,11,PF11VNT3,0
69,13,11,RBC27,0
70,13,11,RBC7,0
71,13,11,SC1500,0
72,13,11,SC620,0
73,13,11,SMART UPS 1000,0
74,13,11,SMART UPS 1400,0
75,13,11,SMART UPS 1500,0
76,13,11,SMART UPS 700,0
77,13,11,SMART UPS 750XL,0
78,13,11,SMART UPS RT 2200,0
79,13,11,SMART UPS SC 1500,0
80,13,11,SMART-UPS 1500,0
81,13,11,SMART-UPS SC-1500,0
82,13,11,SMART-UPS X 3000VA,0
83,13,11,SMRTD5000XL,0
84,13,11,SMT1500,0
85,13,11,SMT1500RM2U,0
86,13,11,SMT750,62.5
87,13,11,SMX3000RMHV2UNC,0
88,13,11,SU5000RMT5U,0
89,13,11,SU700BX120,0
90,13,11,SU700XLNET,0
91,13,11,SUA1000XL,0
92,13,11,SUA1500,0
93,13,11,SUA24XLBP,0
94,13,11,SUA750XL,0
95,13,11,SURTD3000RMXLT3U,0
96,13,11,SYMIM4Q,0
97,2,12,A1176,0
98,14,12,APPLETV3.1 (A1427-MD199LL/A),5
99,10,12,CINEMA_DISPLAY (A1081-M9177LL/A),0
100,10,12,CINEMA_DISPLAY (A1082-M9178LL/A),0
101,10,12,CINEMA_DISPLAY (A1083-M9179LL/A),0
102,10,12,CINEMA_DISPLAY (A1267-MB382LL/A),0
103,10,12,CINEMA_DISPLAY (A1316-MC007LL/A),0
104,10,12,CINEMA_DISPLAY (M8536-M8537ZM/A),0
