ProcessorID,ProcessorType,ProcessorSpeed,ProcessorQty,ProcessorValue
1,Core2Duo,1.0,1,0
2,Core2Duo,1.0,2,0
3,Core2Duo,1.0,3,0
4,Core2Duo,1.0,4,0
5,Core2Duo,1.1,1,0
6,Core2Duo,1.1,2,0
7,Core2Duo,1.1,3,0
8,Core2Duo,1.1,4,0
9,Core2Duo,1.11,1,0
10,Core2Duo,1.11,2,0
11,Core2Duo,1.11,3,0
12,Core2Duo,1.11,4,0
13,Core2Duo,1.12,1,0
14,Core2Duo,1.12,2,0
15,Core2Duo,1.12,3,0
16,Core2Duo,1.12,4,0
17,Core2Duo,1.13,1,0
18,Core2Duo,1.13,2,0
19,Core2Duo,1.13,3,0
20,Core2Duo,1.13,4,0
21,Core2Duo,1.14,1,0
22,Core2Duo,1.14,2,0
23,Core2Duo,1.14,3,0
24,Core2Duo,1.14,4,0
25,Core2Duo,1.15,1,0
26,Core2Duo,1.15,2,0
27,Core2Duo,1.15,3,0
28,Core2Duo,1.15,4,0
29,Core2Duo,1.16,1,0
30,Core2Duo,1.16,2,0
31,Core2Duo,1.16,3,0
32,Core2Duo,1.16,4,0
33,Core2Duo,1.17,1,0
34,Core2Duo,1.17,2,0
35,Core2Duo,1.17,3,0
36,Core2Duo,1.17,4,0
37,Core2Duo,1.18,1,0
38,Core2Duo,1.18,2,0
39,Core2Duo,1.18,3,0
40,Core2Duo,1.18,4,0
41,Core2Duo,1.19,1,0
42,Core2Duo,1.19,2,0
43,Core2Duo,1.19,3,0
44,Core2Duo,1.19,4,0
45,Core2Duo,1.2,1,0
46,Core2Duo,1.2,2,0
47,Core2Duo,1.2,3,0
48,Core2Duo,1.2,4,0
49,Core2Duo,1.21,1,0
50,Core2Duo,1.21,2,0
51,Core2Duo,1.21,3,0
52,Core2Duo,1.21,4,0
53,Core2Duo,1.22,1,0
54,Core2Duo,1.22,2,0
55,Core2Duo,1.22,3,0
56,Core2Duo,1.22,4,0
57,Core2Duo,1.23,1,0
58,Core2Duo,1.23,2,0
59,Core2Duo,1.23,3,0
60,Core2Duo,1.23,4,0
61,Core2Duo,1.24,1,0
62,Core2Duo,1.24,2,0
63,Core2Duo,1.24,3,0
64,Core2Duo,1.24,4,0
65,Core2Duo,1.25,1,0
66,Core2Duo,1.25,2,0
67,Core2Duo,1.25,3,0
68,Core2Duo,1.25,4,0
69,Core2Duo,1.26,1,0
70,Core2Duo,1.26,2,0
71,Core2Duo,1.26,3,0
72,Core2Duo,1.26,4,0
73,Core2Duo,1.27,1,0
74,Core2Duo,1.27,2,0
75,Core2Duo,1.27,3,0
76,Core2Duo,1.27,4,0
77,Core2Duo,1.28,1,0
78,Core2Duo,1.28,2,0
79,Core2Duo,1.28,3,0
80,Core2Duo,1.28,4,0
81,Core2Duo,1.29,1,0
82,Core2Duo,1.29,2,0
83,Core2Duo,1.29,3,0
84,Core2Duo,1.29,4,0
85,Core2Duo,1.3,1,0
86,Core2Duo,1.3,2,0
87,Core2Duo,1.3,3,0
88,Core2Duo,1.3,4,0
89,Core2Duo,1.31,1,0
90,Core2Duo,1.31,2,0
91,Core2Duo,1.31,3,0
92,Core2Duo,1.31,4,0
93,Core2Duo,1.32,1,0
94,Core2Duo,1.32,2,0
95,Core2Duo,1.32,3,0
96,Core2Duo,1.32,4,0
97,Core2Duo,1.33,1,0
98,Core2Duo,1.33,2,0
99,Core2Duo,1.33,3,0
100,Core2Duo,1.33,4,0
101,Core2Duo,1.34,1,0
102,Core2Duo,1.34,2,0
103,Core2Duo,1.34,3,0
104,Core2Duo,1.34,4,0
105,Core2Duo,1.35,1,0
106,Core2Duo,1.35,2,0
107,Core2Duo,1.35,3,0
108,Core2Duo,1.35,4,0
109,Core2Duo,1.36,1,0
110,Core2Duo,1.36,2,0
111,Core2Duo,1.36,3,0
112,Core2Duo,1.36,4,0
113,Core2Duo,1.37,1,0
114,Core2Duo,1.37,2,0
115,Core2Duo,1.37,3,0
116,Core2Duo,1.37,4,0
117,Core2Duo,1.38,1,0
118,Core2Duo,1.38,2,0
119,Core2Duo,1.38,3,0
120,Core2Duo,1.38,4,0
121,Core2Duo,1.39,1,0
122,Core2Duo,1.39,2,0
123,Core2Duo,1.39,3,0
124,Core2Duo,1.39,4,0
125,Core2Duo,1.4,1,0
126,Core2Duo,1.4,2,0
127,Core2Duo,1.4,3,0
128,Core2Duo,1.4,4,0
129,Core2Duo,1.41,1,0
130,Core2Duo,1.41,2,0
131,Core2Duo,1.41,3,0
132,Core2Duo,1.41,4,0
133,Core2Duo,1.42,1,0
134,Core2Duo,1.42,2,0
135,Core2Duo,1.42,3,0
136,Core2Duo,1.42,4,0
137,Core2Duo,1.43,1,0
138,Core2Duo,1.43,2,0
139,Core2Duo,1.43,3,0
140,Core2Duo,1.43,4,0
141,Core2Duo,1.44,1,0
142,Core2Duo,1.44,2,0
143,Core2Duo,1.44,3,0
144,Core2Duo,1.44,4,0
145,Core2Duo,1.45,1,0
146,Core2Duo,1.45,2,0
147,Core2Duo,1.45,3,0
148,Core2Duo,1.45,4,0
149,Core2Duo,1.46,1,0
150,Core2Duo,1.46,2,0
151,Core2Duo,1.46,3,0
152,Core2Duo,1.46,4,0
153,Core2Duo,1.47,1,0
154,Core2Duo,1.47,2,0
155,Core2Duo,1.47,3,0
156,Core2Duo,1.47,4,0
157,Core2Duo,1.48,1,0
158,Core2Duo,1.48,2,0
159,Core2Duo,1.48,3,0
160,Core2Duo,1.48,4,0
161,Core2Duo,1.49,1,0
162,Core2Duo,1.49,2,0
163,Core2Duo,1.49,3,0
164,Core2Duo,1.49,4,0
165,Core2Duo,1.5,1,0
166,Core2Duo,1.5,2,0
167,Core2Duo,1.5,3,0
168,Core2Duo,1.5,4,0
169,Core2Duo,1.51,1,0
170,Core2Duo,1.51,2,0
171,Core2Duo,1.51,3,0
172,Core2Duo,1.51,4,0
173,Core2Duo,1.52,1,0
174,Core2Duo,1.52,2,0
175,Core2Duo,1.52,3,0
176,Core2Duo,1.52,4,0
177,Core2Duo,1.53,1,0
178,Core2Duo,1.53,2,0
179,Core2Duo,1.53,3,0
180,Core2Duo,1.53,4,0
181,Core2Duo,1.54,1,0
182,Core2Duo,1.54,2,0
183,Core2Duo,1.54,3,0
184,Core2Duo,1.54,4,0
185,Core2Duo,1.55,1,0
186,Core2Duo,1.55,2,0
187,Core2Duo,1.55,3,0
188,Core2Duo,1.55,4,0
189,Core2Duo,1.56,1,0
190,Core2Duo,1.56,2,0
191,Core2Duo,1.56,3,0
192,Core2Duo,1.56,4,0
193,Core2Duo,1.57,1,0
194,Core2Duo,1.57,2,0
195,Core2Duo,1.57,3,0
196,Core2Duo,1.57,4,0
197,Core2Duo,1.58,1,0
198,Core2Duo,1.58,2,0
199,Core2Duo,1.58,3,0
200,Core2Duo,1.58,4,0
201,Core2Duo,1.59,1,0
202,Core2Duo,1.59,2,0
203,Core2Duo,1.59,3,0
204,Core2Duo,1.59,4,0
205,Core2Duo,1.6,1,0
206,Core2Duo,1.6,2,0
207,Core2Duo,1.6,3,0
208,Core2Duo,1.6,4,0
